Address,Sold Price,Type,Year built,Heating,Cooling,Parking,Bedrooms,Bathrooms,Elementary School Score,Elementary School Distance,Middle School Score,Middle School Distance,High School Score,High School Distance,Appliances included,Laundry features,Zip,Neighborhood
1620 E Gage Ave,475000.0,MultiFamily,1925.0,"Wall, Other",,Covered,4,3.0,4.0,0.4,3.0,0.5,,,,,90001,
120 N Hudson Ave,9175000.0,SingleFamily,1977.0,Central,Central,"Garage, Garage - Attached, Covered",6,8.0,8.0,0.3,7.0,0.7,7.0,1.8,"Dishwasher, Freezer, Garbage disposal, Refrigerator",Room,90004,Hancock Park
6020 S Vermont Ave,830000.0,MultiFamily,1964.0,,,Carport,10,5.0,3.0,0.3,2.0,0.1,2.0,0.2,"Garbage disposal, Microwave, Range / Oven",,90044,South Los Angeles
9445 Duxbury Rd,2875000.0,SingleFamily,1948.0,Central,,Detached Carport,4,4.0,7.0,0.5,7.0,1.9,6.0,0.7,Refrigerator,Laundry Room,90034,Palms
4532 Catalpa St,550000.0,SingleFamily,1947.0,,Wall/Window Unit(s),Driveway,2,1.0,6.0,0.5,5.0,1.2,4.0,0.4,Dishwasher,Laundry Room,90032,El Sereno
3880 Bostwick St,685000.0,SingleFamily,1962.0,,Central Air,Garage - Attached,3,2.0,4.0,0.2,4.0,0.8,,,,"Gas Dryer Hookup, Laundry Closet, Washer Hookup",90063,City Terrace
4733 Don Zarembo Dr,928000.0,SingleFamily,1959.0,Central,Central Air,Garage - Two Door,3,3.0,3.0,0.9,2.0,1.8,2.0,1.4,"Disposal, Built-In",Laundry Room,90008,Baldwin Hills
3491 Federal Ave,1444000.0,SingleFamily,1951.0,Floor Furnace,,Garage - Single Door,3,2.0,8.0,0.3,3.0,1.1,6.0,1.3,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",In Kitchen,90066,Mar Vista
1436 Mount Pleasant St,1370000.0,SingleFamily,1911.0,"Central, Forced Air","Central Air, Dual, Zoned","Carport, Detached Carport",4,2.0,5.0,0.3,,,7.0,0.8,"Gas Range, Refrigerator, Dryer, Washer","Gas Dryer Hookup, Inside, Washer Hookup",90042,Highland Park
2155 Roscomare Rd,1660000.0,SingleFamily,1954.0,Central,Central Air,Carport,4,3.0,9.0,0.6,,,6.0,4.1,"Dishwasher, Disposal, Refrigerator",,90077,Bel-Air
1474 S Durango Ave,2550000.0,SingleFamily,2020.0,"Central, Fireplace(s)",Central Air,"Driveway, Garage - Two Door",4,3.0,7.0,0.2,,,6.0,1.2,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator","Upper Level, Inside",90035,Beverlywood
8514 Lookout Mountain Ave,1180000.0,SingleFamily,1928.0,,,"Open, Guest",3,2.0,9.0,0.1,3.0,3.1,7.0,2.3,"Dishwasher, Disposal, Refrigerator",,90046,Hollywood Hills
541 Cashmere Ter,2579000.0,SingleFamily,1950.0,Central,Dual,Garage - Attached,5,4.0,9.0,1.6,,,6.0,1.3,,Laundry Room,90049,Brentwood
10560 Wilshire Blvd APT 1102,1600000.0,Condo,1982.0,Central,Central Air,Garage,2,3.0,9.0,0.2,,,6.0,2.1,,In Kitchen,90024,Westwood
4340 Lowell Ave,700000.0,MultiFamily,1938.0,,Wall/Window Unit(s),,7,3.0,6.0,0.2,5.0,1.4,4.0,2.2,,In Kitchen,90032,El Sereno
3202 Larissa Dr,486000.0,Condo,1923.0,Wall Furnace,,,1,1.0,5.0,0.2,6.0,0.8,8.0,1.4,"Refrigerator, Oven, Range","Inside, Stackable",90026,Echo Park
8107 Yorktown Ave,1600000.0,SingleFamily,1947.0,"Central, Forced Air",Central Air,"Driveway, Driveway Up Slope From Street, Garage Faces Front, Garage Door Opener, Workshop in Garage",5,4.0,5.0,0.1,,,,,"Dishwasher, Disposal, Gas Range, Microwave, Range Hood, Refrigerator, Tankless Water Heater",Inside,90045,Westchester
1341 Edgecliffe Dr,2750000.0,SingleFamily,1925.0,Central,Central Air,"Garage - Two Door, Garage, Concrete",4,4.0,5.0,0.3,6.0,0.6,8.0,1.3,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Inside,90026,Echo Park
649 S Citrus Ave,2105000.0,SingleFamily,2002.0,Central,Central Air,"Driveway, Garage - Two Door",3,3.0,8.0,0.5,7.0,0.2,7.0,1.7,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Inside,90036,Fairfax
1377 Sutherland St,430000.0,Condo,1920.0,Wall Furnace,,"Assigned, Open",1,1.0,,,,,,,"Refrigerator, Oven, Range, Range Hood, Washer, Dryer",,90026,Echo Park
3200 Larissa Dr,486000.0,Condo,1923.0,Wall Furnace,Wall/Window Unit(s),,1,1.0,,,,,,,"Refrigerator, Oven, Range","Laundry Closet, Inside, Stackable",90026,Echo Park
138 W 61st St,870000.0,SingleFamily,1910.0,"None, Other",,0 spaces,3,2.0,,,2.0,0.4,2.0,0.8,,,90003,South Los Angeles
5013 Range View Ave,812000.0,SingleFamily,1921.0,Forced Air,Central Air,Driveway,3,1.0,5.0,0.3,,,7.0,0.7,"Dishwasher, Refrigerator",Laundry Closet,90042,Highland Park
917 S New Hampshire Ave UNIT 205,619000.0,Condo,2007.0,Central,Central Air,"Assigned, Community Structure, Controlled Entrance, Covered",2,2.0,,,,,,,"Dishwasher, Disposal, Microwave, Gas Cooktop, Range, Range Hood",,90006,Pico-Union
2231 Observatory Ave,1970000.0,SingleFamily,1923.0,Central,Central Air,"Gated, Driveway",3,2.0,8.0,0.5,6.0,1.1,8.0,0.6,"Dishwasher, Refrigerator, Washer, Dryer","Inside, Laundry Room",90027,Los Feliz
10621 Kalmia St,465000.0,SingleFamily,2020.0,,,,4,2.0,2.0,0.2,3.0,0.9,,,,Laundry Room,90002,Watts
3503 Glenhurst Ave,1165000.0,SingleFamily,1922.0,,Central Air,Garage,2,2.0,4.0,0.5,,,,,,In Kitchen,90039,Atwater Village
369 N La Fayette Park Pl APT 4,460000.0,Condo,1981.0,Central,Central Air,Garage - Two Door,2,2.0,5.0,0.4,5.0,0.9,3.0,1.2,"Dishwasher, Refrigerator, Washer, Dryer",In Garage,90026,Echo Park
5109 Brea Crest Dr,925000.0,SingleFamily,1941.0,"Floor Furnace, Wall Furnace",,"Driveway, On Street",4,2.0,,,2.0,2.1,,,"Dishwasher, Disposal, Gas Range","Gas Dryer Hookup, Laundry Room, Inside, Washer Hookup",90043,View Park-Windsor Hills
2943 Club Dr,4360000.0,SingleFamily,1952.0,Central,Central Air,"Driveway, Garage - Three Door",5,4.0,7.0,0.2,7.0,1.3,6.0,0.7,"Dishwasher, Disposal, Microwave, Refrigerator, Range, Range Hood, Washer, Dryer",Laundry Room,90064,Rancho Park
2934 Division St,798000.0,SingleFamily,1923.0,Central,Central Air,"Concrete, Gated, Private",3,2.0,4.0,0.1,,,,,"Dishwasher, Disposal, Refrigerator",,90065,Glassell Park
4516 Westdale Ave,725000.0,SingleFamily,1922.0,Central,Central Air,Garage,3,1.0,5.0,0.5,,,7.0,0.7,,"Laundry Closet, Outside",90041,Eagle Rock
4307 Mont Eagle Pl,1007000.0,SingleFamily,1963.0,Central,Central Air,Garage - Single Door,3,3.0,5.0,0.2,,,7.0,1.4,"Dishwasher, Refrigerator, Washer, Dryer",In Garage,90041,Eagle Rock
1350 W 69th St,585000.0,SingleFamily,1921.0,Central,,"Driveway, Concrete",3,2.0,3.0,0.4,2.0,0.8,2.0,0.9,"Gas Range, Gas Water Heater",Laundry Room,90044,South Los Angeles
8129 Creighton Ave,1435000.0,SingleFamily,1947.0,"Central, Fireplace(s)",Central Air,Garage - Attached,3,2.0,6.0,0.5,,,,,Gas Range,Laundry Closet,90045,Westchester
2373 Silver Ridge Ave,2600000.0,SingleFamily,1932.0,"Central, Zoned",Central Air,Garage - Two Door,5,3.0,8.0,0.3,,,,,"Dishwasher, Refrigerator, Washer, Dryer","Inside, Laundry Room",90039,Atwater Village
5150 Windermere Ave,1177500.0,SingleFamily,1920.0,Central,Central Air,Driveway,4,3.0,8.0,0.4,,,7.0,0.9,"Convection Oven, Double Oven, Electric Oven, Freezer, Microwave, Recirculated Exhaust Fan, Refrigerator, Dryer, Washer","Laundry Closet, In Kitchen",90041,Eagle Rock
3942 W 59th St,828000.0,SingleFamily,1938.0,Central,Central Air,Garage - Two Door,3,4.0,2.0,0.3,2.0,1.7,,,"Dishwasher, Disposal, Microwave",Inside,90043,View Park-Windsor Hills
10648 Lindbrook Dr,2617000.0,SingleFamily,1933.0,Central,Central Air,"Driveway, Garage - Two Door, Private",4,4.0,9.0,0.5,,,6.0,1.9,Dishwasher,"Inside, Laundry Room",90024,Westwood
2594 Armstrong Ave,1450000.0,SingleFamily,1928.0,Central,Central Air,"Detached Carport, Driveway",2,1.0,9.0,0.4,6.0,1.2,8.0,0.9,"Dishwasher, Refrigerator","Laundry Closet, Inside",90039,Atwater Village
314 S Bundy Dr,1875000.0,SingleFamily,1947.0,,,Garage,3,2.0,9.0,1.2,7.0,1.3,8.0,3.6,,See Remarks,90049,Brentwood
3630 Wasatch Ave,1097000.0,SingleFamily,1949.0,Central,Central Air,0 spaces,4,3.0,7.0,0.4,4.0,0.7,6.0,0.7,Trash Compactor,Inside,90066,Mar Vista
222 S Central Ave APT 134,455000.0,Condo,1985.0,Central,Central Air,"Community Structure, Gated",1,1.0,,,6.0,1.8,3.0,1.8,"Refrigerator, Washer",,90012,Downtown LA
7427 Dalton Ave,675000.0,SingleFamily,1928.0,,,Driveway,3,2.0,3.0,0.4,2.0,1.2,2.0,1.3,"Dishwasher, Gas Range, Microwave","Gas Dryer Hookup, Inside, Washer Hookup",90047,South Los Angeles
8539 Lookout Mountain Ave,930000.0,SingleFamily,1968.0,Central,Central Air,Garage - Attached,2,3.0,9.0,0.1,3.0,3.1,7.0,2.3,"Microwave, Refrigerator, Washer, Dryer","Inside, Laundry Room",90046,Hollywood Hills
2161 Groveland Dr,1960000.0,SingleFamily,1988.0,Central,Central Air,Garage - Two Door,3,4.0,9.0,0.3,3.0,2.8,7.0,2.0,,Laundry Room,90046,Hollywood Hills
7511 Westlawn Ave,1420000.0,SingleFamily,2008.0,Forced Air,,"Covered, Detached Carport, Garage Door Opener, Driveway - Combination, Garage - Three Door",3,3.0,9.0,0.4,,,,,"Microwave, Refrigerator, Built-In",,90045,Westchester
6467 Wynkoop St,1250000.0,SingleFamily,1950.0,Central,Central Air,Garage - Attached,3,2.0,9.0,0.1,,,,,,"Laundry Room, Inside",90045,Westchester
706 W 60th St,470000.0,SingleFamily,1912.0,,,"Driveway, Garage",2,1.0,3.0,0.3,2.0,0.4,2.0,0.1,Range Hood,"See Remarks, Stackable",90044,South Los Angeles
3226 W 27th St,870000.0,SingleFamily,1907.0,Central,,"Concrete, Garage - Two Door",3,3.0,3.0,0.4,3.0,0.9,2.0,1.7,"Disposal, Dryer",Inside,90018,Jefferson Park
9017 Alcott St APT 306,800000.0,Condo,1989.0,Other,Central,Covered,2,3.0,7.0,0.3,,,6.0,1.3,,,90035,Beverlywood
525 S Ardmore Ave APT 150,380000.0,Condo,1973.0,,,Assigned,1,1.0,,,,,,,Disposal,Community,90020,Wilshire Center
3728 Brilliant Pl,1265000.0,SingleFamily,1941.0,"Central, Natural Gas",Central Air,Garage - Single Door,3,3.0,5.0,0.8,,,7.0,1.8,"Dishwasher, Disposal, Freezer, Gas Range, Ice Maker, Microwave, Range, Range Hood, Refrigerator, Vented Exhaust Fan","Gas & Electric Dryer Hookup, Laundry Room, Inside",90065,Glassell Park
928 Keniston Ave,2685000.0,SingleFamily,1922.0,Central,Central Air,"Auto Driveway Gate, Concrete",5,6.0,2.0,0.5,7.0,0.4,4.0,0.2,"Dishwasher, Disposal, Microwave, Refrigerator",Inside,90019,Mid-City
3008 Marathon St LOT 3,1045000.0,SingleFamily,2020.0,Central,Central Air,"Direct Access, Garage",3,4.0,5.0,0.5,5.0,1.0,3.0,1.4,"Dishwasher, Disposal, Microwave, Refrigerator",Laundry Closet,90026,Echo Park
2170 Century Park E APT 1406,1300000.0,Condo,1966.0,Central,Central Air,"Underground, Valet",2,2.0,9.0,1.4,,,6.0,3.3,"Dishwasher, Disposal, Refrigerator, Built-In, Washer, Dryer","Community, Inside",90067,Century City
3744 Somerset Dr,1335000.0,SingleFamily,1940.0,Central,Central Air,Garage - Two Door,3,3.0,2.0,0.4,2.0,0.8,2.0,0.6,"Dishwasher, Refrigerator",,90016,West Adams
358 N Bronson Ave,1130000.0,SingleFamily,1922.0,See Remarks,See Remarks,"Driveway Up Slope From Street, Porte-Cochere",2,2.0,6.0,0.2,3.0,1.1,7.0,2.7,,See Remarks,90004,Hancock Park
2929 Waverly Dr APT 101,531500.0,Condo,1973.0,Central,Central Air,Community Structure,1,2.0,9.0,0.1,6.0,1.3,8.0,0.7,Refrigerator,Community,90039,Atwater Village
1349 Lucile Ave,2075000.0,SingleFamily,,Combination,Central,0 spaces,3,4.0,5.0,0.3,6.0,0.5,8.0,1.3,"Dryer, Garbage disposal, Microwave, Refrigerator, Washer",Room,90026,Echo Park
2024 S Curson Ave,1495000.0,SingleFamily,2020.0,Central,Central Air,"Covered, Direct Access, Garage Door Opener, Garage - Two Door, Private, Side By Side",4,4.0,6.0,0.2,3.0,4.5,6.0,1.7,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer","Laundry Closet, Inside",90016,West Adams
8303 Skyline Dr,1775000.0,SingleFamily,1969.0,Central,Central Air,"Driveway, Garage - Two Door",3,3.0,9.0,0.8,3.0,3.9,7.0,3.0,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",In Garage,90046,Hollywood Hills
5876 W 74th St,1185000.0,SingleFamily,1950.0,Central,Central Air,"Direct Access, Driveway",3,2.0,5.0,0.5,,,,,"Dishwasher, Disposal, Gas Range, Microwave, Range Hood, Refrigerator, Tankless Water Heater, Vented Exhaust Fan","Gas Dryer Hookup, In Garage",90045,Westchester
7522 Flight Ave,1525000.0,SingleFamily,1948.0,Central,Central Air,Garage Faces Front,4,3.0,6.0,0.4,,,,,,Laundry Closet,90045,Westchester
6602 Barton Ave,1050000.0,SingleFamily,1922.0,Central,Central Air,Concrete,2,2.0,2.0,0.5,3.0,0.1,7.0,1.6,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",In Kitchen,90038,Hollywood
1117 E 90th St,440000.0,SingleFamily,1926.0,Wall Furnace,See Remarks,"Direct Access, Driveway, Concrete, Garage, Garage Faces Front",2,1.0,5.0,0.4,1.0,0.6,,,Microwave,"Gas Dryer Hookup, Washer Hookup",90002,Watts
125 Greenfield Ave,1850000.0,SingleFamily,1938.0,Central,Central Air,"Garage, Garage - Attached, Covered",2,2.0,9.0,1.5,,,6.0,1.8,,Inside,90049,Brentwood
3416 11th Ave,650000.0,SingleFamily,1924.0,Wall,,"Garage, Covered",3,2.0,3.0,0.3,3.0,1.1,2.0,1.1,,Inside,90018,Jefferson Park
1109 Oneonta Dr,1675000.0,SingleFamily,1982.0,"Central, Solar",Central Air,"Driveway Up Slope From Street, Garage",4,4.0,7.0,0.7,,,7.0,1.1,"6 Burner Stove, Dishwasher, Double Oven, Refrigerator, Washer","In Kitchen, Washer Hookup",90065,Glassell Park
1532 N 46th Ave,1080000.0,SingleFamily,1921.0,,,"Garage - Single Door, Driveway",5,3.0,5.0,0.2,,,7.0,1.2,Gas Oven,,90041,Eagle Rock
12011 Goshen Ave APT 301,1330000.0,Condo,1991.0,Central,Central Air,"Assigned, Community Structure, Controlled Entrance, Covered, Side By Side",2,4.0,5.0,0.3,7.0,1.9,6.0,0.4,"Dishwasher, Refrigerator, Washer, Dryer",,90049,Brentwood
1420 N Laurel Ave APT 204,835000.0,Condo,2004.0,Central,Central Air,"Assigned, Covered, Garage, Gated, Guest, Parking Space, Private, Underground",2,2.0,7.0,0.8,3.0,1.8,7.0,0.9,"Microwave, Refrigerator",,90046,Hollywood Hills
1321 W 65th Pl,455000.0,SingleFamily,1923.0,,,Garage,2,1.0,,,,,,,,,90044,South Los Angeles
347 N Alfred St,2150000.0,SingleFamily,,,,0 spaces,0,0.0,4.0,0.2,7.0,2.6,7.0,1.0,,,90048,Beverly Grove
12919 Montana Ave APT 201,1310000.0,Condo,1979.0,Central,,"Assigned, Controlled Entrance, Covered, Side By Side",2,2.0,9.0,1.8,7.0,1.1,8.0,3.1,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",,90049,Brentwood
4316 Guardia Ave,735000.0,SingleFamily,1946.0,Central,Central Air,Driveway,3,2.0,5.0,0.7,5.0,1.2,4.0,2.0,"Dishwasher, Disposal, Microwave, Refrigerator, Gas Cooktop, Gas Oven, Range Hood, Washer, Dryer",Outside,90032,El Sereno
1729 Silverwood Ter,1305000.0,SingleFamily,1958.0,,,"Direct Access, Garage - Two Door",1,2.0,2.0,0.3,6.0,1.0,8.0,1.4,,Laundry Closet,90026,Echo Park
2972 Ripple Pl APT 103,612000.0,Condo,2016.0,Central,Central Air,"Garage, Assigned, Controlled Entrance, Community Structure, Guest, Tandem, Garage Door Opener",2,2.0,8.0,0.4,,,,,"Dishwasher, Microwave, Refrigerator, Gas Range, Washer, Dryer",Stackable,90039,Atwater Village
1622 Barry Ave APT 201,1040000.0,Condo,2007.0,Central,Central Air,"Garage - Two Door, Tandem",3,3.0,7.0,0.3,3.0,1.4,6.0,0.5,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",,90025,West Los Angeles
2550 Aberdeen Ave,6608215.0,SingleFamily,1927.0,Central,Central Air,"Direct Access, Driveway - Combination, Garage - Three Door",5,7.0,8.0,0.7,6.0,1.3,8.0,0.9,"Dishwasher, Disposal",Laundry Room,90027,Los Feliz
121 N Berendo St,1360000.0,MultiFamily,1921.0,,,Covered,2,1.0,4.0,0.1,5.0,0.2,3.0,2.1,,"Gas Dryer Hookup, Washer Hookup",90004,Hancock Park
1333 Beverly Green Dr #301,2070000.0,Condo,2019.0,Central,"Central, Air Conditioning",0 spaces,3,4.0,8.0,1.1,,,9.0,0.7,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Refrigerator, Washer",In Unit,90035,Beverlywood
2030 N Vermont Ave APT 15,700000.0,Condo,1961.0,Central,Wall/Window Unit(s),"Assigned, Covered, Direct Access, Garage Faces Rear, Parking Space",2,1.0,,,6.0,1.0,8.0,0.9,"6 Burner Stove, Dishwasher, Gas Oven, Gas Range, Gas Cooktop, Gas Water Heater, Microwave",Common Area,90027,Los Feliz
1753 W 41st Dr,810000.0,SingleFamily,1921.0,Central,Central Air,Garage,4,2.0,2.0,0.2,,,,,,Inside,90062,South Los Angeles
8100 Barnsley Ave,990000.0,SingleFamily,1947.0,"Central, Forced Air",Wall/Window Unit(s),Side By Side,3,2.0,5.0,0.3,,,,,"Dishwasher, Disposal",Inside,90045,Westchester
5138 Melrose Ave,1055000.0,SingleFamily,2014.0,Central,Central Air,Garage - Attached,3,4.0,6.0,0.3,3.0,0.8,7.0,3.0,"Dishwasher, Refrigerator, Washer, Dryer",,90038,Hollywood
202 E 78th St,355000.0,MultiFamily,1920.0,Wall,,0 spaces,1,1.0,3.0,0.3,2.0,0.6,3.0,0.2,,,90003,South Los Angeles
6681 Drexel Ave,1660000.0,SingleFamily,1929.0,,,"Detached Carport, Garage - Two Door",3,2.0,7.0,0.8,7.0,2.3,7.0,1.2,,In Kitchen,90048,Beverly Grove
2920 Reservoir St,1080000.0,SingleFamily,1949.0,Central,Central Air,Concrete,2,2.0,5.0,0.4,6.0,1.0,8.0,1.6,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer","Laundry Closet, Outside",90026,Echo Park
101 S Ridgewood Pl,1300000.0,SingleFamily,1921.0,Central,,"Auto Driveway Gate, Driveway, Garage - Two Door",4,2.0,8.0,1.3,7.0,1.5,7.0,2.9,"Dishwasher, Refrigerator",,90004,Hancock Park
1602 Silverwood Ter,2125000.0,SingleFamily,1925.0,Central,Central Air,"Garage - Two Door, Private",4,4.0,2.0,0.3,6.0,1.0,8.0,1.4,"Dishwasher, Microwave, Refrigerator","In Garage, Laundry Closet",90026,Echo Park
3334 Madera Ave,740000.0,SingleFamily,1923.0,Wall Furnace,,0 spaces,1,1.0,4.0,0.3,,,,,Refrigerator,,90039,Atwater Village
10645 Wilshire Blvd APT 302,800000.0,Condo,1955.0,Central,Central Air,Assigned,2,2.0,9.0,0.5,,,6.0,1.9,"Dishwasher, Disposal, Microwave, Refrigerator, Gas Oven, Washer",In Kitchen,90024,Westwood
2805 Woodstock Rd,4470000.0,SingleFamily,1953.0,Central,Central,"Carport, Garage - Attached, Covered",4,3.0,,,6.0,2.2,8.0,2.9,"Dryer, Refrigerator, Washer",Room,90046,Hollywood Hills
1222 S Westgate Ave APT 202,925000.0,Condo,2001.0,Central,,"Community Structure, Controlled Entrance, Covered, Gated, Guest, Tandem",2,2.0,5.0,0.2,,,6.0,0.1,"Dishwasher, Refrigerator",Laundry Closet,90025,West Los Angeles
3676 5th Ave,765000.0,SingleFamily,1914.0,Central,Central Air,"Driveway, Garage",3,3.0,3.0,0.4,2.0,0.8,2.0,1.5,"6 Burner Stove, Dishwasher, Microwave, Refrigerator","Gas Dryer Hookup, Laundry Closet, In Kitchen, Inside, Washer Hookup",90018,Jefferson Park
1227 Granville Ave PENTHOUSE 3,1170000.0,Condo,1989.0,Central,Central Air,"Assigned, Gated, Tandem",3,3.0,5.0,0.2,,,6.0,0.1,"Dishwasher, Disposal, Refrigerator, Washer, Dryer","Laundry Closet, Inside",90025,West Los Angeles
3916 Paige St,1300000.0,SingleFamily,2008.0,Forced Air,Central Air,"Other, Concrete, Garage - Two Door, Workshop in Garage, Driveway, Side By Side, Garage",3,2.0,6.0,0.2,5.0,1.3,,,"Oven, Refrigerator, Microwave, Dishwasher, Tankless Water Heater, Disposal, Dryer, Washer","Laundry Closet, Gas Dryer Hookup",90031,Lincoln Heights
6210 S Van Ness Ave,500000.0,SingleFamily,2000.0,Central,Evaporative Cooling,Garage,3,3.0,2.0,0.3,2.0,1.8,,,,"Laundry Room, Inside",90047,South Los Angeles
841 Norway Ln,3865000.0,SingleFamily,1956.0,Central,Central Air,"Carport, Garage - Two Door",4,4.0,9.0,0.7,7.0,1.6,8.0,3.7,"Dishwasher, Disposal, Microwave, Refrigerator, Gas Cooktop, Double Oven, Range Hood, Washer, Dryer",Inside,90049,Brentwood
3091 Chadwick Dr,835000.0,SingleFamily,2001.0,"Forced Air, Natural Gas",Central Air,"On Street, Garage - Two Door, Side By Side, Garage, Concrete",4,4.0,5.0,0.2,5.0,0.4,4.0,1.2,"Range Hood, Gas & Electric Range, Refrigerator, Gas Oven, Electric Oven, Disposal, Range, Gas Cooking, Microwave, Dishwasher, Water Heater, Built-In, Dryer, Washer","Common Area, Laundry Closet, In Garage",90032,El Sereno
3018 Tillie St,825000.0,SingleFamily,1924.0,Central,Central Air,,2,2.0,4.0,0.4,,,,,"Dishwasher, Disposal, Refrigerator, Gas Range, Washer, Dryer","Laundry Room, See Remarks",90065,Glassell Park
1543 S Crest Dr,1525000.0,SingleFamily,1928.0,Wall,,"Garage, Covered",4,3.0,7.0,0.2,,,6.0,1.1,,,90035,Beverlywood
1532 N Avenue 46,1080000.0,SingleFamily,1921.0,Other,Central,"Garage, Covered",5,3.0,5.0,0.2,,,7.0,1.1,,,90041,Eagle Rock
4070 Albright Ave,1565000.0,SingleFamily,1950.0,Central,Central Air,"Driveway, Garage",3,2.0,6.0,0.7,7.0,0.9,8.0,0.9,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Laundry Closet,90066,Mar Vista
3777 Virginia Rd,1230000.0,SingleFamily,1941.0,"Central, Forced Air",Central Air,"Driveway, Concrete, Garage - Two Door, Guest, Private",4,2.0,2.0,0.3,2.0,0.8,2.0,0.5,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator","Inside, Laundry Room",90016,West Adams
1957 N Edgemont St,2300000.0,SingleFamily,1927.0,Central,Central,"Garage, Garage - Detached, Covered",3,3.0,,,6.0,1.2,8.0,1.2,"Range / Oven, Refrigerator, Washer",Other,90027,Los Feliz
6221 Monterey Rd APT 105,622000.0,Condo,2007.0,Central,Central Air,Garage,2,2.0,1.0,0.6,,,7.0,1.1,,Inside,90042,Highland Park
1711 S Holt Ave,1533433.0,SingleFamily,1929.0,Central,,"Concrete, Garage - Two Door",3,2.0,4.0,0.4,,,6.0,1.0,"Dishwasher, Disposal, Refrigerator, Dryer",,90035,Beverlywood
8361 Chase Ave,1820000.0,SingleFamily,1946.0,Central,,Driveway,3,2.0,6.0,0.3,,,,,"Dishwasher, Disposal, Microwave, Dryer",Laundry Room,90045,Westchester
1532 North Ave 46,1080000.0,SingleFamily,1923.0,,,0 spaces,5,2.0,8.0,0.4,,,7.0,0.3,,,90041,Eagle Rock
1200 N Las Palmas Ave,645000.0,SingleFamily,1912.0,,Wall/Window Unit(s),Driveway,3,2.0,2.0,0.6,3.0,0.3,6.0,0.5,Refrigerator,Outside,90038,Hollywood
5418 Buchanan St,1235500.0,SingleFamily,1926.0,Central,Central Air,"Covered, Detached Carport, Driveway, Garage - Single Door, Garage, Private",3,2.0,5.0,0.3,,,7.0,0.1,"Dishwasher, Microwave, Refrigerator, Oven, Built-In, Range, Range Hood",Inside,90042,Highland Park
825 S Shenandoah St APT 303,835668.0,Condo,1989.0,Central,Central Air,Garage,2,2.0,5.0,0.8,,,7.0,1.9,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",,90035,Beverlywood
1842 Greenfield Ave APT 401,992000.0,Condo,1991.0,Central,Central Air,"Tandem, Community Structure, Gated, Covered, Controlled Entrance",2,2.0,9.0,0.6,,,6.0,1.3,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",Laundry Closet,90025,West Los Angeles
1201 N Kenter Ave,1820000.0,SingleFamily,1957.0,Central,,"Concrete, Garage",3,2.0,9.0,0.5,7.0,1.4,8.0,3.1,"Dishwasher, Disposal",In Kitchen,90049,Brentwood
4871 Hartwick St,1520000.0,SingleFamily,1942.0,Central,Central Air,Garage - Two Door,4,3.0,6.0,0.2,,,7.0,0.5,Dishwasher,Inside,90041,Eagle Rock
2645 Cordelia Rd,3500000.0,SingleFamily,1996.0,Central,Central Air,"Direct Access, Garage Door Opener, Driveway, Concrete, Garage - Three Door",4,4.0,9.0,1.4,7.0,2.0,8.0,2.8,"Dishwasher, Disposal, Microwave, Refrigerator, Vented Exhaust Fan, Built-In, Gas Cooktop, Double Oven, Range Hood, Self Cleaning Oven","Inside, Laundry Room",90049,Brentwood
131 N Croft Ave APT 301,1000000.0,Condo,1991.0,"Forced Air, Fireplace(s)","Central Air, Dual","Assigned, Tandem",3,3.0,4.0,0.3,7.0,2.5,7.0,1.0,"Built-In Range, Self Cleaning Oven, Dishwasher, Double Oven, Gas Range, Microwave, Recirculated Exhaust Fan, Refrigerator, Dryer, Washer","Laundry Closet, Inside, Upper Level",90048,Beverly Grove
3821 Verona St,655000.0,SingleFamily,1921.0,,Wall/Window Unit(s),Driveway,7,4.0,5.0,0.5,3.0,0.3,,,Disposal,"Laundry Room, Inside",90023,Boyle Heights
2349 Castle Heights Ave,1510000.0,SingleFamily,1949.0,Central,,"Garage - Two Door, Carport",2,2.0,7.0,0.3,7.0,1.7,6.0,0.7,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Laundry Room,90034,Palms
4210 Via Arbolada UNIT 205,510000.0,Condo,1984.0,Forced Air,Central Air,"Garage, Tandem",2,2.0,1.0,0.4,6.0,1.5,4.0,1.6,"Dishwasher, Disposal, Washer, Dryer",,90042,Highland Park
