Address,Sold Price,Type,Year built,Heating,Cooling,Parking,Bedrooms,Bathrooms,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Appliances included,Laundry features,Tax assessed value,Annual tax amount,City
532 N Rossmore Ave APT 212,450000.0,Condo,1972.0,Central,Central Air,"Assigned, Garage, Gated",1,1.0,Third Street Elementary School,8.0,0.8,Hubert Howe Bancroft Middle School,3.0,0.8,Fairfax Senior High School,7.0,2.1,,Inside,445705.0,5351.0,Los Angeles
707 S Avenue 60,1090888.0,SingleFamily,2016.0,,"Central Air, Wall/Window Unit(s), Evaporative Cooling, Humidity Control, Whole House Fan, Electric, Gas, ENERGY STAR Qualified Equipment, High Efficiency",Garage - Attached,3,2.0,Bushnell Way Elementary School,1.0,0.6,,,,Benjamin Franklin Senior High School,7.0,1.3,,"Common Area, Electric Dryer Hookup, Gas & Electric Dryer Hookup, Gas Dryer Hookup",920065.0,11236.0,Los Angeles
480 N Orlando Ave,2575000.0,SingleFamily,1924.0,Central,Central Air,Garage - Three Door,4,4.0,"Rosewood Avenue Elementary School, School for Advanced Studies",4.0,0.1,Hubert Howe Bancroft Middle School,3.0,2.3,Fairfax Senior High School,7.0,0.8,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",In Garage,2045628.0,25018.0,Los Angeles
11340 W Sunset Blvd,2500000.0,SingleFamily,1941.0,Central,Dual,"RV Potential, Private, Garage Door Opener, Driveway, Concrete, Oversized",5,5.0,Warner Avenue Elementary School,9.0,2.0,,,,University Senior High School Charter,6.0,1.8,"Dishwasher, Gas Cooktop, Range Hood",Inside,2830642.0,34680.0,Los Angeles
1638 E 85th St,354000.0,SingleFamily,1923.0,,,0 spaces,2,1.0,Russell Elementary School,5.0,0.5,Charles Drew Middle School,1.0,0.2,,,,,Laundry Room,14289.0,745.0,Los Angeles
1675 W 37th St,405500.0,SingleFamily,1909.0,Wall,,"Garage, Covered",4,2.0,,,,,,,,,,"Dryer, Washer",In Unit,530603.0,6633.0,Los Angeles
2814 Phelps Ave,720000.0,SingleFamily,1962.0,Central,Central Air,Garage - Attached,3,4.0,Farmdale Elementary School,2.0,0.2,El Sereno Middle School,5.0,0.1,Woodrow Wilson Senior High School,4.0,0.8,"Barbecue, Dishwasher, Disposal, Refrigerator, Dryer, Washer",,454618.0,5700.0,Los Angeles
12140 Herbert St,1145000.0,SingleFamily,1941.0,Central,,"Detached Carport, Auto Driveway Gate, Oversized",2,3.0,Grand View Boulevard Elementary School,6.0,0.3,Marina Del Rey Middle School,2.0,0.8,Venice Senior High School,6.0,1.1,"Dishwasher, Disposal, Microwave, Refrigerator, Gas Oven, Washer, Dryer",,814692.0,10027.0,Los Angeles
5315 Clinton St,930000.0,SingleFamily,1923.0,,Central Air,Garage - Attached,2,1.0,Van Ness Avenue Elementary School,6.0,0.2,Joseph Le Conte Middle School,3.0,0.8,Fairfax Senior High School,7.0,2.6,,Laundry Closet,323230.0,3972.0,Los Angeles
2607 S Halm Ave,1440000.0,SingleFamily,1937.0,Central,Central Air,"Covered, Driveway, Porte-Cochere",2,2.0,Shenandoah Street Elementary School,4.0,0.1,Mark Twain Middle School and World Languages Magnet,4.0,4.6,Alexander Hamilton Senior High School,6.0,0.4,"Dishwasher, Disposal, Microwave, Refrigerator","Inside, In Kitchen, Stackable",490211.0,6167.0,Los Angeles
8332 Regis Way,1660000.0,SingleFamily,1948.0,Central,Central Air,Driveway,5,4.0,Loyola Village Elementary School,4.0,0.5,,,,,,,"Barbecue, Dishwasher, Disposal, Refrigerator, Gas Cooktop, Built-In, Washer, Dryer","Inside, Upper Level",1724461.0,20952.0,Los Angeles
8650 Belford Ave APT 220A,549000.0,Condo,1968.0,Radiant,,"Assigned, Guest, Parking Space",3,2.0,Westport Heights Elementary School,5.0,0.6,,,,,,,"Dishwasher, Disposal, Microwave, Refrigerator",Community,510000.0,6259.0,Los Angeles
1139 W 99th St,270000.0,SingleFamily,1925.0,,,0 spaces,4,2.0,Ninety-Fifth Street Elementary School,3.0,0.2,Bret Harte Preparatory Middle School,2.0,0.6,George Washington Preparatory High School,2.0,0.8,,,274614.0,4000.0,Los Angeles
820 Hyperion Ave,1500000.0,SingleFamily,1928.0,Central,Central Air,"Carport, Concrete, Side By Side",3,2.0,Lockwood Avenue Elementary School,4.0,0.4,Thomas Starr King Middle School,6.0,0.7,John Marshall Senior High School,8.0,1.4,Oven,Inside,945073.0,11509.0,Los Angeles
4049 Via Marisol APT 216,518100.0,Condo,1982.0,Central,Central Air,"Guest, See Remarks, Underground, Tandem Covered",2,2.0,Bushnell Way Elementary School,1.0,0.5,Luther Burbank Middle School,6.0,1.6,Woodrow Wilson Senior High School,4.0,1.5,"Dishwasher, Electric Oven, Electric Range, Disposal, Microwave","Electric Dryer Hookup, Inside, See Remarks",440000.0,5469.0,Los Angeles
3720 Mountain View Ave,2178000.0,SingleFamily,1939.0,Central,Central Air,"Auto Driveway Gate, Garage Door Opener, Driveway, Garage, Garage - Two Door, Gated, Guest, Private",6,6.0,Grand View Boulevard Elementary School,6.0,0.4,Daniel Webster Middle School,3.0,1.4,Venice Senior High School,6.0,1.0,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer","Inside, Laundry Room, See Remarks",1784678.0,21812.0,Los Angeles
5915 Haas Ave,690000.0,SingleFamily,1923.0,Central,Central Air,"Driveway, Garage - Single Door",3,3.0,Fifty-Ninth Street Elementary School,2.0,0.2,Audubon Middle School,2.0,1.6,,,,"Dishwasher, Refrigerator, Microwave, Oven, Washer, Dryer",,529307.0,6610.0,Los Angeles
859 N Poinsettia Pl,1187000.0,SingleFamily,1927.0,Central,Central Air,Garage - Single Door,2,1.0,Laurel Elementary School,3.0,0.9,,,,Fairfax Senior High School,7.0,0.7,"Dishwasher, Disposal, Microwave, Refrigerator","Inside, Stackable",428619.0,5265.0,Los Angeles
11279 Regent St,1210000.0,SingleFamily,1948.0,Wall Furnace,,"Garage, RV Access/Parking",3,3.0,Charnock Road Elementary School,4.0,0.2,Daniel Webster Middle School,3.0,1.3,Venice Senior High School,6.0,1.8,"Dishwasher, Electric Oven, Electric Range, Microwave, Refrigerator","In Garage, Laundry Room, See Remarks",723511.0,8949.0,Los Angeles
2508 Hyperion Ave APT 2,1020000.0,MultiFamily,2008.0,Central,Central Air,Garage - Two Door,2,3.0,Ivanhoe Elementary School,9.0,0.5,Thomas Starr King Middle School,6.0,0.7,John Marshall Senior High School,8.0,0.3,"Dishwasher, Disposal, Water Purifier, Built-In, Dryer","In Garage, Laundry Closet",,,Los Angeles
11610 Bellagio Rd,5750000.0,SingleFamily,1940.0,Central,Central Air,"Circular Driveway, Driveway - Brick",5,7.0,Roscomare Road Elementary School,9.0,2.7,,,,University Senior High School Charter,6.0,2.0,"Barbecue, Dishwasher, Refrigerator, Built-In, Double Oven, Oven, Self Cleaning Oven, Range Hood, Range, Washer, Dryer",Laundry Room,4382699.0,53485.0,Los Angeles
1903 W 83rd St,840000.0,SingleFamily,1929.0,Central,Central Air,"Detached Carport, Garage - Two Door, Concrete",3,2.0,Seventy-Fourth Street Elementary School,3.0,0.6,Animo Charter Middle No. 3,4.0,2.7,George Washington Preparatory High School,2.0,1.7,Dishwasher,Inside,688500.0,8678.0,Los Angeles
3257 Blair Dr,1400000.0,SingleFamily,1946.0,Central,Central Air,"Controlled Entrance, Garage - Two Door, Private",3,3.0,Valley View Elementary School,8.0,0.4,Hubert Howe Bancroft Middle School,3.0,2.8,Hollywood Senior High School,6.0,2.1,"Barbecue, Dishwasher, Refrigerator, Washer, Dryer",Inside,1251225.0,15498.0,Los Angeles
7436 Denrock Ave,1500000.0,SingleFamily,1950.0,Central,,"Garage - Two Door, Driveway",4,2.0,Cowan Avenue Elementary School,9.0,0.3,,,,,,,"Dishwasher, Refrigerator, Oven, Range",Inside,1224000.0,15001.0,Los Angeles
717 E 118th Pl,450000.0,SingleFamily,1925.0,,,Garage,2,1.0,One Hundred Sixteenth Street Elementary School,4.0,0.2,Samuel Gompers Middle School,2.0,0.7,,,,"Built-In Range, Dishwasher, Disposal","Laundry Room, Outside",105964.0,1767.0,Los Angeles
1353 N Fuller Ave UNIT 205,865000.0,Condo,2007.0,Central,,"Controlled Entrance, Underground, Tandem, Guest, Garage Door Opener",3,3.0,Gardner Street Elementary School,7.0,0.3,Hubert Howe Bancroft Middle School,3.0,0.9,Fairfax Senior High School,7.0,1.0,"Dishwasher, Disposal, Microwave, Gas Cooktop, Range Hood, Washer, Dryer",,775959.0,9386.0,Los Angeles
13107 Rose Ave,1646500.0,SingleFamily,1953.0,,,"Garage - Two Door, Gated, Private, Concrete",3,2.0,Walgrove Avenue Elementary School,4.0,0.2,Mark Twain Middle School and World Languages Magnet,4.0,0.6,Venice Senior High School,6.0,0.9,"Dishwasher, Disposal, Refrigerator, Vented Exhaust Fan, Oven, Range Hood",,1300000.0,15899.0,Los Angeles
3801 Eagle Rock Blvd UNIT 9,715000.0,Townhouse,2014.0,Central,Central Air,"Direct Access, Garage - Two Door",3,3.0,Delevan Drive Elementary School,9.0,0.5,,,,Eagle Rock High School,7.0,1.8,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Inside,624240.0,7698.0,Los Angeles
450 N Sycamore Ave APT 12,642000.0,Condo,1929.0,Central,Central Air,Garage,1,1.0,Vine Street Elementary School,2.0,1.1,Hubert Howe Bancroft Middle School,3.0,0.6,Fairfax Senior High School,7.0,1.1,"Dishwasher, Refrigerator, Gas Oven","Community, Laundry Room",398471.0,4904.0,Los Angeles
8581 Cole Crest Dr,1850000.0,SingleFamily,1989.0,"Central, Forced Air","Air Conditioning, Multi/Zone","Garage - Attached, Covered",5,5.0,Wonderland Avenue Elementary School,9.0,0.7,Hubert Howe Bancroft Middle School,3.0,2.8,Fairfax Senior High School,7.0,1.7,"Dishwasher, Garbage disposal, Refrigerator",Room,2240000.0,27240.0,Los Angeles
6224 Nye St,469000.0,SingleFamily,1988.0,Central,Central Air,"Garage, Garage Door Opener",3,3.0,Suva Elementary School,5.0,0.7,,,,Bell Gardens High School,3.0,1.3,,Inside,187001.0,2429.0,Los Angeles
123 S Clark Dr APT 104,1120000.0,Condo,2004.0,Central,"Central Air, Dual","Assigned, Community Structure, Controlled Entrance, Garage Door Opener, Garage, Gated, Guest",3,3.0,"Rosewood Avenue Elementary School, School for Advanced Studies",4.0,0.8,John Burroughs Middle School,7.0,3.1,Fairfax Senior High School,7.0,1.7,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Inside,1028306.0,12430.0,Los Angeles
3654 Lavell Dr,1250000.0,SingleFamily,1981.0,Central,Central Air,Garage - Two Door,3,3.0,Glassell Park Elementary School,4.0,0.6,,,,,,,"Dishwasher, Refrigerator, Washer, Dryer",Inside,958800.0,11738.0,Los Angeles
500 S Berendo St APT 402,400000.0,Condo,1992.0,Central,Central Air,"Tandem, Community Structure",1,1.0,,,,,,,,,,Dishwasher,Community,200638.0,2402.0,Los Angeles
1416 W 87th St,710000.0,SingleFamily,1936.0,Wall Furnace,,"Driveway, Garage - Two Door",7,4.0,La Salle Avenue Elementary School,3.0,0.3,Bret Harte Preparatory Middle School,2.0,1.0,George Washington Preparatory High School,2.0,1.3,Disposal,,455000.0,5810.0,Los Angeles
2428 Beverwil Dr,1650000.0,SingleFamily,1949.0,Central,Central Air,"Driveway, Detached Carport",2,2.0,Castle Heights Elementary School,7.0,0.2,Palms Middle School,7.0,1.6,Alexander Hamilton Senior High School,6.0,0.7,"Dishwasher, Microwave, Refrigerator, Oven, Gas Cooktop, Washer, Dryer","Inside, Laundry Room",108665.0,1540.0,Los Angeles
1957 Laughlin Park Dr,5850000.0,SingleFamily,1922.0,Central,Central,"Garage, Garage - Detached, Covered",0,0.0,Cheremoya Avenue Elementary School,6.0,1.0,Joseph Le Conte Middle School,3.0,1.1,Hollywood Senior High School,6.0,2.2,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Inside, Room, Laundry Area",4141404.0,50101.0,Los Angeles
11750 W Sunset Blvd APT 321,525000.0,Condo,1965.0,Central,Central Air,"Assigned, Controlled Entrance, Guest",1,1.0,Kenter Canyon Elementary School,9.0,1.2,Paul Revere Middle School,7.0,1.6,University Senior High School Charter,6.0,1.3,,Community,497916.0,5974.0,Los Angeles
744 N Martel Ave,2272500.0,SingleFamily,1929.0,Central,Central Air,Carport,3,3.0,Laurel Elementary School,3.0,0.8,,,,Fairfax Senior High School,7.0,0.6,,,1664640.0,20358.0,Los Angeles
4117 Tracy St,1528000.0,SingleFamily,1940.0,Central,Central Air,Garage,3,3.0,Franklin Avenue Elementary School,8.0,0.3,Thomas Starr King Middle School,6.0,0.7,John Marshall Senior High School,8.0,0.2,,Inside,1418246.0,17253.0,Los Angeles
6213 South Ave,350000.0,SingleFamily,1921.0,,Central Air,,3,2.0,,,,Thomas A. Edison Middle School,3.0,0.6,,,,,,133069.0,2222.0,Los Angeles
1431 E 123rd St,455000.0,SingleFamily,1946.0,,,"Driveway, Garage Faces Front, Garage - Two Door",2,1.0,Carver Elementary School,3.0,0.2,,,,Centennial High School,3.0,0.5,,In Kitchen,242553.0,3467.0,Los Angeles
2946 Belden Dr,1333000.0,SingleFamily,1940.0,Central,,"Garage, Garage Faces Front",3,2.0,Cheremoya Avenue Elementary School,6.0,1.0,Joseph Le Conte Middle School,3.0,1.7,Hollywood Senior High School,6.0,1.8,"Dryer, Washer",In Kitchen,1139237.0,14116.0,Los Angeles
866 N Kenmore Ave,1155000.0,SingleFamily,1920.0,Central,Central Air,"Garage - Single Door, Driveway",3,1.0,Ramona Elementary School,3.0,0.3,Joseph Le Conte Middle School,3.0,1.4,Helen Bernstein High School,4.0,1.2,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",In Kitchen,807716.0,9808.0,Los Angeles
648 Lillian Way,1875000.0,SingleFamily,1923.0,Central,Central Air,"Converted Garage, Garage - Two Door",3,2.0,Third Street Elementary School,8.0,0.9,Hubert Howe Bancroft Middle School,3.0,0.7,Fairfax Senior High School,7.0,2.0,"Refrigerator, Washer, Dryer",See Remarks,508617.0,6477.0,Los Angeles
1212 W 73rd St,575000.0,SingleFamily,1922.0,See Remarks,Central Air,"Driveway, Garage, Garage Faces Front",3,2.0,Raymond Avenue Elementary School,3.0,0.1,John Muir Middle School,2.0,0.9,Augustus F. Hawkins High A Critical Design And Gaming,2.0,0.9,,"In Kitchen, Inside",411321.0,5116.0,Los Angeles
4961 Gambier St,670000.0,SingleFamily,1920.0,"Central, Forced Air",Central Air,"Concrete, Carport, Covered, Detached Carport, Driveway, On Street, Garage - Single Door, Garage",3,2.0,Sierra Park Elementary School,5.0,0.4,El Sereno Middle School,5.0,0.2,Woodrow Wilson Senior High School,4.0,1.0,"Refrigerator, Gas Oven, Washer, Dryer",In Garage,97072.0,1487.0,Los Angeles
332 S Lucerne Blvd,4000000.0,SingleFamily,1921.0,Central,Central Air,"Auto Driveway Gate, Driveway, Side By Side",4,5.0,,,,,,,,,,"Dishwasher, Disposal, Microwave, Washer, Dryer",In Kitchen,1241020.0,15371.0,Los Angeles
10761 Lawler St APT 2,726500.0,Condo,1991.0,Central,Central Air,Gated,2,3.0,Charnock Road Elementary School,4.0,0.6,Palms Middle School,7.0,0.2,Venice Senior High School,6.0,2.5,"Self Cleaning Oven, Dishwasher, Free-Standing Range, Disposal, Gas Oven, Refrigerator","Gas Dryer Hookup, Washer Hookup",472908.0,5803.0,Los Angeles
276 Loring Ave,6850000.0,SingleFamily,1936.0,Central,Central Air,"Detached Carport, Garage Door Opener, Driveway, Covered",6,7.0,Warner Avenue Elementary School,9.0,0.5,,,,University Senior High School Charter,6.0,2.5,"Barbecue, Dishwasher, Disposal, Refrigerator, Washer, Dryer",Laundry Room,748362.0,9954.0,Los Angeles
2156 Hollyridge Dr,2050000.0,SingleFamily,1926.0,Central,Central Air,"Detached Carport, Garage Door Opener, Garage - Two Door, Side By Side",2,2.0,Cheremoya Avenue Elementary School,6.0,0.3,Joseph Le Conte Middle School,3.0,1.0,Hollywood Senior High School,6.0,1.5,"Disposal, Refrigerator",Inside,1234634.0,15151.0,Los Angeles
435 S Virgil Ave APT 115,390000.0,Condo,1986.0,,Wall/Window Unit(s),Community Structure,1,1.0,Commonwealth Avenue Elementary School,5.0,0.3,Virgil Middle School,5.0,0.6,Belmont Senior High School,3.0,1.6,Refrigerator,Community,123167.0,1568.0,Los Angeles
142 N Irving Blvd,2675000.0,SingleFamily,1922.0,Other,Central,"Garage, Garage - Attached, Covered",4,2.0,Van Ness Avenue Elementary School,6.0,0.4,John Burroughs Middle School,7.0,1.3,Fairfax Senior High School,7.0,2.7,Dishwasher,,1664526.0,20335.0,Los Angeles
3540 Redwood Ave,2309000.0,SingleFamily,1940.0,Central,"Central Air, Dual","Garage - Two Door, Garage, Driveway",4,4.0,Beethoven Street Elementary School,7.0,0.3,Mark Twain Middle School and World Languages Magnet,4.0,0.2,Venice Senior High School,6.0,0.5,"Barbecue, Dishwasher, Microwave, Refrigerator","Laundry Room, Inside",2050764.0,24903.0,Los Angeles
1723 S Canfield Ave,1615165.0,SingleFamily,1941.0,Central,Central Air,Driveway,3,2.0,Canfield Avenue Elementary School,7.0,0.1,Palms Middle School,7.0,2.3,Alexander Hamilton Senior High School,6.0,0.9,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Laundry Room,877449.0,10855.0,Los Angeles
3544 Ocean View Ave,4500000.0,SingleFamily,1957.0,Central,Central Air,"Auto Driveway Gate, Garage - Two Door",5,7.0,Mar Vista Elementary School,8.0,0.4,Daniel Webster Middle School,3.0,1.2,Venice Senior High School,6.0,0.9,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator","Laundry Room, Upper Level",3654000.0,44361.0,Los Angeles
2851 La Castana Dr,2500000.0,SingleFamily,1977.0,Forced Air,Central Air,"Paved, Garage - Two Door",3,5.0,,,,,,,,,,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",In Garage,,,Los Angeles
9420 Baird Ave,625000.0,SingleFamily,1920.0,Wall Furnace,Central Air,Garage,5,3.0,Ninety-Sixth Street Elementary School,3.0,0.2,Charles Drew Middle School,1.0,0.7,,,,,Washer Hookup,372186.0,5160.0,Los Angeles
3720 Glenfeliz Blvd,1440000.0,SingleFamily,1926.0,,Central Air,"Driveway, Driveway - Brick, Driveway - Combination, Concrete, Garage Faces Front, Garage - Single Door",3,3.0,Glenfeliz Boulevard Elementary School,5.0,0.4,,,,John Marshall Senior High School,8.0,1.0,"6 Burner Stove, Dishwasher, Gas Oven, Gas Range",In Kitchen,1054680.0,12930.0,Los Angeles
6427 La Punta Dr,2020000.0,SingleFamily,1981.0,Central,Central Air,"Built-In Storage, Direct Access, Garage Door Opener, Driveway, Workshop in Garage, Guest, Gated, Garage - Two Door, Garage",3,4.0,Cheremoya Avenue Elementary School,6.0,0.7,Joseph Le Conte Middle School,3.0,1.4,Hollywood Senior High School,6.0,1.1,"Dishwasher, Disposal, Refrigerator, Water Purifier, Gas Cooktop, Convection Oven, Oven, Range Hood, Range, Washer, Dryer",Laundry Room,1900000.0,23276.0,Los Angeles
1037 N Vista St APT 302,835000.0,Condo,1979.0,Central,Central Air,"Assigned, Covered",2,2.0,Laurel Elementary School,3.0,0.7,,,,Fairfax Senior High School,7.0,0.6,"Dishwasher, Disposal, Microwave, Gas Cooktop, Dryer",Laundry Room,711762.0,8760.0,Los Angeles
7666 Boeing Ave,2785000.0,SingleFamily,1948.0,Central,,Garage - Two Door,3,1.0,Westport Heights Elementary School,5.0,0.3,,,,,,,Refrigerator,Common Area,905760.0,11176.0,Los Angeles
2446 Cheremoya Ave,1093000.0,SingleFamily,1938.0,,,Garage,2,2.0,Cheremoya Avenue Elementary School,6.0,0.5,Joseph Le Conte Middle School,3.0,1.2,Hollywood Senior High School,6.0,1.6,,,985011.0,12038.0,Los Angeles
6202 Banner Ave #1,813000.0,Townhouse,1926.0,,Wall/Window Unit(s),"Garage Door Opener, Garage - Single Door, Gated, On Street, Permit Required",2,1.0,Vine Street Elementary School,2.0,0.3,Joseph Le Conte Middle School,3.0,0.5,Hollywood Senior High School,6.0,1.1,"Dishwasher, Microwave, Refrigerator, Gas Cooktop, Gas Oven, Washer, Dryer","Stackable, Outside",427738.0,5304.0,Los Angeles
406 E 41st St,435000.0,SingleFamily,2008.0,"Wall Furnace, Natural Gas",,"Driveway, Paved, Garage, Garage Faces Front, Garage - Single Door, Oversized",3,3.0,Ricardo Lizarraga Elementary School,4.0,0.1,William Jefferson Clinton Middle School,3.0,0.7,,,,Built-In Range,"Inside, Upper Level, See Remarks",259037.0,3317.0,Los Angeles
151 S Citrus Ave,2270000.0,SingleFamily,1926.0,"Central, Zoned",Central Air,"Gated, Garage - Two Door, Concrete",5,3.0,Third Street Elementary School,8.0,0.3,John Burroughs Middle School,7.0,0.5,Fairfax Senior High School,7.0,1.4,"Dishwasher, Disposal, Washer, Dryer",Laundry Room,623973.0,7826.0,Los Angeles
341 S Cliffwood Ave,7475000.0,SingleFamily,1984.0,Central,Central Air,"Direct Access, Garage Door Opener, Private, Side By Side",5,7.0,,,,Paul Revere Middle School,7.0,0.7,Palisades Charter High School,8.0,3.0,"Dishwasher, Disposal, Refrigerator","Inside, Laundry Room",4399073.0,53435.0,Los Angeles
7135 Hollywood Blvd APT 207,765000.0,Condo,1965.0,Central,Central Air,"Assigned, Private",2,2.0,Gardner Street Elementary School,7.0,0.4,Hubert Howe Bancroft Middle School,3.0,1.0,Hollywood Senior High School,6.0,0.4,"Dishwasher, Disposal, Refrigerator",,661980.0,8107.0,Los Angeles
5020 3rd Ave,550000.0,SingleFamily,1923.0,Natural Gas,,"Driveway, Garage - Single Door",2,1.0,Angeles Mesa Elementary School,3.0,0.2,Audubon Middle School,2.0,0.9,,,,"Disposal, Gas Oven, Gas Cooktop, Gas Water Heater",In Kitchen,49209.0,755.0,Los Angeles
8336 Mulholland Dr,2700000.0,SingleFamily,1961.0,"Central, Forced Air",Central Air,"Auto Driveway Gate, Built-In Storage, Detached Carport, Controlled Entrance, Covered, Garage Door Opener, Driveway, Driveway - Combination, Open, Guest",4,6.0,Wonderland Avenue Elementary School,9.0,0.5,Hubert Howe Bancroft Middle School,3.0,3.5,Fairfax Senior High School,7.0,2.8,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Vented Exhaust Fan, Built-In, Gas Cooktop, Double Oven, Oven, Gas Oven, Range Hood, Range, Washer, Dryer","Inside, Laundry Room",1688971.0,21129.0,Los Angeles
2436 N Commonwealth Ave,2583000.0,SingleFamily,1946.0,Central,Central Air,"Garage - Two Door, Driveway - Combination",5,4.0,Franklin Avenue Elementary School,8.0,0.6,Thomas Starr King Middle School,6.0,1.2,John Marshall Senior High School,8.0,0.7,,"In Garage, Inside",2273104.0,27548.0,Los Angeles
2548 Laurel Pass Ave,1800000.0,SingleFamily,1958.0,Central,Central Air,"Driveway, Garage",3,3.0,Wonderland Avenue Elementary School,9.0,0.2,Hubert Howe Bancroft Middle School,3.0,3.4,Fairfax Senior High School,7.0,2.6,"Dishwasher, Refrigerator, Washer, Dryer",Inside,,,Los Angeles
5134 W 20th St,869000.0,SingleFamily,1925.0,Central,Central Air,Driveway,3,2.0,Cienega Elementary School,5.0,0.5,"Johnnie Cochran, Jr., Middle School",3.0,1.6,,,,"Dishwasher, Refrigerator, Washer, Dryer",In Kitchen,836400.0,10203.0,Los Angeles
8356 Naylor Ave,1000000.0,SingleFamily,1941.0,Central,Central Air,"Garage - Two Door, Detached Carport",2,2.0,Westport Heights Elementary School,5.0,0.5,,,,,,,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Laundry Room,110912.0,1576.0,Los Angeles
5158 Village Grn #1/2,600000.0,Condo,1942.0,Gravity,,"Assigned, Private",1,1.0,Baldwin Hills Elementary School,6.0,0.5,Audubon Middle School,2.0,1.9,Susan Miller Dorsey Senior High School,2.0,0.8,"Dishwasher, Disposal",Community,,,Los Angeles
6040 Arlington Ave,392000.0,SingleFamily,1928.0,Wall Furnace,,"Driveway, Garage, Open",2,2.0,Fifty-Ninth Street Elementary School,2.0,0.2,Audubon Middle School,2.0,1.7,,,,Microwave,"Gas Dryer Hookup, Washer Hookup",260100.0,3267.0,Los Angeles
4615 Finley Ave APT 2,550000.0,Condo,1958.0,Wall Furnace,,"Carport, Detached Carport",1,1.0,,,,Thomas Starr King Middle School,6.0,0.9,John Marshall Senior High School,8.0,0.9,"Disposal, Refrigerator, Gas Range, Washer, Dryer",Stackable,410040.0,5041.0,Los Angeles
3971 Moore St APT 105,963000.0,Townhouse,2009.0,Central,Central Air,"Direct Access, Garage Door Opener",2,2.0,Beethoven Street Elementary School,7.0,0.5,Mark Twain Middle School and World Languages Magnet,4.0,0.7,Venice Senior High School,6.0,0.4,"Dishwasher, Disposal, Refrigerator, Range, Washer, Dryer",In Garage,,,Los Angeles
1070 Latin Way,905000.0,SingleFamily,1951.0,,,,2,2.0,Toland Way Elementary School,5.0,0.5,,,,Benjamin Franklin Senior High School,7.0,1.6,Refrigerator,In Kitchen,777178.0,9507.0,Los Angeles
6922 W 85th St,1530000.0,SingleFamily,1947.0,"Central, Forced Air",Central Air,"Converted Garage, Driveway",4,3.0,Kentwood Elementary School,6.0,0.4,,,,,,,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Inside,1249123.0,15342.0,Los Angeles
320 Gifford Ave,1188000.0,SingleFamily,2020.0,Central,Central Air,"Garage - Two Door, Garage, Concrete, Covered",5,6.0,Marianna Avenue Elementary School,6.0,0.2,Belvedere Middle School,4.0,0.4,,,,"Dishwasher, Disposal, Refrigerator",Laundry Closet,215000.0,2800.0,Los Angeles
1224 S Saltair Ave APT 4,960000.0,Condo,1981.0,Central,Central Air,Gated,3,3.0,Brockton Avenue Elementary School,5.0,0.1,,,,University Senior High School Charter,6.0,0.3,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",,824200.0,10054.0,Los Angeles
239 W 61st St,680000.0,SingleFamily,1923.0,Central,,Driveway,3,2.0,,,,Mary Mcleod Bethune Middle School,2.0,0.4,Augustus F. Hawkins High A Critical Design And Gaming,2.0,0.7,,,30426.0,603.0,Los Angeles
3049 Landa St,2242000.0,SingleFamily,1954.0,Central,Central Air,"Garage Door Opener, Garage",4,3.0,Ivanhoe Elementary School,9.0,0.8,Thomas Starr King Middle School,6.0,0.8,John Marshall Senior High School,8.0,1.0,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",Laundry Room,997511.0,12211.0,Los Angeles
1821 W 68th St,695000.0,SingleFamily,1926.0,Wall Furnace,,"Driveway, Garage - Two Door",3,3.0,,,,,,,,,,"Dishwasher, Disposal, Refrigerator",Inside,494300.0,6698.0,Los Angeles
1440 Veteran Ave APT 232,531000.0,Condo,1972.0,Wall Furnace,,"Assigned, Controlled Entrance, Community Structure, Covered, Underground",1,1.0,Fairburn Avenue Elementary School,9.0,0.9,,,,University Senior High School Charter,6.0,1.2,"Disposal, Refrigerator, Electric Cooktop, Oven",Community,524808.0,6298.0,Los Angeles
8963 Burton Way APT 302,849000.0,Condo,1969.0,Central,Central Air,"Auto Driveway Gate, Community Structure, Controlled Entrance, Covered, Garage Door Opener, Gated, Parking Space, Side By Side",2,2.0,"Rosewood Avenue Elementary School, School for Advanced Studies",4.0,0.9,John Burroughs Middle School,7.0,3.2,Fairfax Senior High School,7.0,1.8,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer","Laundry Closet, Inside",327115.0,3997.0,Los Angeles
